filename,Key Skills,Overall Analysis,Certifications & Courses,Relevant Projects,Soft Skills,Overall Match Score,Projects Relevance Score,Experience Relevance Score,Final Score,Relative Ranking Score
resume_ca451d50da.pdf,"['Python', 'NumPy', 'Pandas', 'TensorFlow', 'FastAPI', 'AWS S3, Lambda, SageMaker, EC2, CloudWatch', 'Docker', 'Kubernetes', 'Git', 'CI/CD', 'REST API design', 'MTech (Artificial Intelligence)', 'Data Preprocessing', 'Deep Learning Architectures', 'EfficientNet', 'Scikit-learn', 'NLP', 'TF-IDF', 'Logistic Regression', 'HTML/CSS/JavaScript', 'API Integration']","The candidate has a strong educational background with an MTech in Artificial Intelligence and relevant project experience in machine learning and data processing. They are proficient in key skills necessary for the job, including Python, TensorFlow, and various NLP techniques. The candidate has some relevant project experience but lacks specific mentions of sophisticated tools and practices such as Docker, Kubernetes, and AWS services, which are listed in the Nice to Have section of the job description.","['MTech in Artificial Intelligence', 'BTech in Computer Science']","['Plant Disease Detection (using EfficientNet B0)', 'Fake Product Review Detection (Scikit-learn, TF-IDF, Logistic Regression)', 'Retinal Disease Classification (CNN/BNN)']","['Problem-solving skills', 'Quick learner', 'Proactive approach', 'Adaptability', 'Strong communication skills', 'Teamwork and collaboration']",7.5,8.0,6.5,515.0,100.0
resume_b483f9d365.pdf,"['Python (NumPy, Pandas, PyTorch, TensorFlow)', 'Machine Learning Algorithms', 'Model Evaluation Metrics', 'Training Workflows', 'Docker', 'Kubernetes', 'AWS (S3, Lambda, SageMaker, EC2, CloudWatch)', 'Git', 'CI/CD', 'REST API Design', 'FastAPI']","Aarivananthan M has a solid academic background in Artificial Intelligence. His experience aligns well with many key responsibilities mentioned in the job description, particularly in the areas of model deployment, data preprocessing, NLP, and collaboration with cross-functional teams. There are some gaps, particularly in terms of specific frameworks like LoRA and PEFT for fine-tuning large language models, as well as in the specific experience with certain MLOps tools.",['Certified Oracle Cloud Infrastructure 2024 Generative AI Professional'],"['NeuroScribe - EEG data processing and prediction', 'Clip Crunch - Youtube Video Summarizer with AWS Transcribe and Bedrock', 'Multimodal Insomnic Prediction - Classifying Insomnia using Machine Learning and Explainable AI']","['Leadership', 'Communication']",7.0,6.0,8.0,480.0,92.31
resume_c242f93b9d.pdf,"['Python', 'NumPy', 'Pandas', 'TensorFlow', 'Deep Learning']","The candidate has a strong technical background in Python and deep learning, which aligns well with the job requirements. However, there is a lack of experience in key areas such as AWS, Docker, Kubernetes, and NLP models.","['Salesforce AI Associate', 'Data Science For Engineers – IIT MADRAS with NPTEL(ELITE)', 'AWS Educate – Credly']","['Bug Vidhya (Group Project)', 'ANPR and ATCC For Smart Traffic Management System']",[],7.0,7.0,5.0,430.0,81.32
resume_b68667107d.pdf,"['Python (NumPy, Pandas)', 'Machine Learning', 'Data Analysis', 'Jupyter Lab', 'AWS (Lambda, EC2, S3)', 'Docker', 'Kubernetes', 'CI/CD pipelines']","The candidate has a strong educational background in computer science and has shown proficiency in programming, data analysis, and cloud technologies. The experience and skills align well with the job description, particularly in areas such as data analysis, machine learning, and cloud computing. However, the candidate lacks direct experience in deep learning, NLP, and specific tools like FastAPI, TensorFlow, and PyTorch, which are mentioned in the job description.","['AWS Cloud Essentials - Amazon Web Services (AWS)', 'Responsive Web Design - freeCodeCamp', 'Scientific Computing with Python - freeCodeCamp', 'Machine Learning with Python - freeCodeCamp', 'JavaScript Algorithms and Data Structures - freeCodeCamp', 'Data Visualization - freeCodeCamp', 'Data Analysis with Python - freeCodeCamp', 'Data Structures Using Python - Udemy', 'Master Class on Data Science using Python A-Z for Machine Learning - Udemy', 'Python Foundation Certification - Infosys']",['Medical Cost Ridge Regression Prediction'],"['Self-starter', 'Independent project management', 'Adaptability']",6.0,5.0,7.0,410.0,76.92
resume_aac6c4d425.pdf,"['Python', 'NumPy', 'Pandas', 'PyTorch', 'TensorFlow', 'Machine Learning', 'Deep Learning', 'AI', 'Docker', 'Kubernetes', 'AWS', 'S3', 'Lambda', 'SageMaker', 'EC2', 'CloudWatch', 'Git', 'CI/CD', 'REST API', 'FastAPI', 'MLflow', 'Prometheus']","The candidate demonstrates a strong foundation in machine learning, deep learning, and AI. However, the experience is more research-oriented rather than production-ready. The candidate lacks significant experience with key technologies like Docker, Kubernetes, and AWS in production environments. The candidate has good skills in developing AI models but needs to gain more experience in deploying and monitoring them in a production setting.",[],['Advanced Prompt Engineering with GPT: Leveraging OpenAI for Custom Content Generation'],"['Collaboration', 'Agile environments', 'Problem-Solving', 'Continuous Learning']",6.0,7.0,4.0,400.0,74.73
resume_ac449e7922.pdf,"['Python', 'Java', 'C', 'HTML', 'CSS', 'JavaScript', 'MS Excel', 'MS PowerPoint', 'MS Word']",Sravya is a Computer Science student with a strong academic background. She has some experience with AI through internships and projects but lacks the industry experience required for a Mid-Level AI Engineer position.,"['Deep Learning for Developers - INFOSYS limited', 'Generative models for developers - INFOSYS limited', 'The Python Fundamentals - Corporate and Industry Relations, AVV']","['Developed a model for smartphone anomaly detection', 'Stationary Shop Management System (not directly related to AI)', 'Machine Learning model for the early diagnosis of Alzheimer’s disease']","['Problem-solving', 'Analytical skills', 'Team collaboration', 'Independent role abilities']",5.0,5.0,5.0,350.0,63.74
resume_adc27bca76.pdf,"['Machine Learning', 'Deep Learning', 'AI', 'Programming (Python, NA, NA)', 'Public Speaking', 'Leadership', 'Explainable AI', 'Hybrid Metaheuristic Optimization']","Sharanya Thambi is currently a student pursuing B.Tech in Computer Science Engineering with a focus on Artificial Intelligence. Her profile highlights strong academic performance and several leadership roles. Although she has experience with machine learning and AI-driven projects, her current experience level is limited to academic and extracurricular activities rather than professional experience in roles similar to the job description provided.","['First Place, IEEE CIS AI Hackathon', 'First Place, Prakalp Science Fest', 'First Place, College Hackathon', 'Second Place, International Speech Contest Club Level']","['Enhanced Classification of Exoplanets Using Machine Learning', 'Hybrid Metaheuristic Optimization for Lung Cancer Image Classification']","['Leadership', 'Public Speaking', 'Mentorship', 'Teamwork', 'Communication']",5.0,6.0,3.0,330.0,59.34
resume_b34e85e44b.pdf,"['Python', 'Machine Learning', 'NLP', 'Deep Learning']","The candidate has a decent understanding of machine learning and neural networks, which are relevant to the job. However, the candidate lacks the specific experience with deep learning models for recommendation and personalized search as well as transformer-based NLP models (e.g., BERT, RoBERTa). Limited experience with AWS and cloud deployment, though they do have familiarity with CI/CD practices.",[],"['Sentimental analysis with imbalanced code mixed data', 'Brain tumor detection using XGBoost and CNN']","['Problem-solving', 'Technical Documentation']",6.0,4.0,5.0,310.0,54.95
resume_c44672948d.pdf,"['Python', 'NumPy', 'Pandas', 'Machine Learning', 'Data Preprocessing', 'MLflow', 'Prometheus', 'AWS SageMaker', 'FastAPI', 'Docker', 'Kubernetes', 'Rest API', 'Git', 'Cyber Security']","The candidate has a background in computer science with a focus on cybersecurity. The resume highlights projects related to machine learning and security, but there are gaps in direct experience with AI, NLP, and deployment to AWS SageMaker. The candidate lacks relevant experience in deploying real-time inference APIs, fine-tuning transformer-based NLP models, and working with transformers like BERT or RoBERTa.",['Pragmatic Approach to Cyber Security'],"['Android Malware Detection', 'LUFlow Network Intrusion Detection Data Set', 'Attendance Management System', 'Bank Atm Project']","['Communication', 'Collaboration', 'Prototyping', 'Project Management']",4.0,6.0,2.0,300.0,52.75
resume_c73713db85.pdf,"['Python', 'NumPy', 'Pandas', 'PyTorch']","The candidate has relevant coursework and projects in signal processing and AI, but lacks significant experience in deep learning, deploying ML models on AWS, and working with NLP/Sentiment analysis or real-time APIs as required by the job description. The resume needs more information on specific ML frameworks and cloud services experience.",['Certified in Data-analytics (using excel)'],"['IOT solutions for Senior Care', 'Audio Source Separation using Python and ML']","['Teamwork', 'Innovation']",4.0,5.0,3.0,290.0,50.55
